-0,08;0,03220;64,52
-0,08;0,03260;64,52
-0,08;0,03220;64,50
-0,08;0,03220;64,50
-0,07;0,03260;64,46
-0,08;0,03260;64,41
-0,07;0,03260;64,41
-0,04;0,03260;64,37
-0,02;0,03260;64,37
0,01;0,03260;64,35
0,08;0,03260;64,32
0,12;0,03190;64,32
0,19;0,03220;64,31
0,25;0,03220;64,31
0,33;0,03260;64,27
0,40;0,03260;64,27
0,50;0,03220;64,26
0,61;0,03260;64,25
0,69;0,03260;64,25
0,79;0,03260;64,19
0,88;0,03220;64,19
1,00;0,03220;64,15
1,10;0,03260;64,14
1,22;0,03220;64,14
1,31;0,03220;64,15
1,43;0,03190;64,15
1,57;0,03220;64,11
1,66;0,03260;64,09
1,77;0,03220;64,09
1,84;0,03220;64,06
1,95;0,03220;64,06
2,02;0,03220;64,04
2,12;0,03220;64,01
2,23;0,03220;64,01
2,29;0,03260;64,00
2,39;0,03220;64,00
2,45;0,03260;63,97
2,54;0,03260;63,94
2,60;0,03220;63,94
2,69;0,03260;63,94
2,75;0,03220;63,94
2,83;0,03260;63,91
2,91;0,03220;63,86
2,96;0,03220;63,86
3,05;0,03220;63,84
3,10;0,03220;63,84
3,17;0,03190;63,81
3,22;0,03220;63,79
3,30;0,03220;63,79
3,37;0,03220;63,74
3,42;0,03220;63,74
3,50;0,03220;63,70
3,55;0,03260;63,66
3,61;0,03220;63,66
3,66;0,03190;63,63
3,73;0,03260;63,63
3,78;0,03260;63,56
3,84;0,03260;63,56
3,92;0,03220;63,51
3,97;0,03220;63,50
4,03;0,03260;63,50
4,07;0,03260;63,47
4,14;0,03260;63,47
4,18;0,03190;63,45
4,24;0,03260;63,41
4,31;0,03260;63,41
4,36;0,03260;63,40
4,42;0,03220;63,40
4,46;0,03220;63,38
4,52;0,03260;63,34
4,57;0,03260;63,34
4,63;0,03220;63,31
4,67;0,03260;63,31
4,73;0,03220;63,29
4,80;0,03260;63,29
4,84;0,03220;63,26
4,91;0,03260;63,28
4,95;0,03220;63,28
5,01;0,03220;63,26
5,05;0,03260;63,26
5,11;0,03220;63,26
5,17;0,03220;63,29
5,22;0,03260;63,29
5,27;0,03300;63,30
5,31;0,03190;63,30
5,37;0,03220;63,33
5,42;0,03260;63,33
5,47;0,03260;63,34
5,51;0,03260;63,33
5,57;0,03220;63,33
5,64;0,03260;63,35
5,68;0,03190;63,35
5,74;0,03260;63,38
5,78;0,03220;63,38
5,84;0,03260;63,39
5,87;0,03260;63,40
5,93;0,03260;63,40
6,00;0,03260;63,39
6,04;0,03220;63,39
6,10;0,03260;63,41
6,13;0,03300;63,40
6,19;0,03190;63,40
6,23;0,03260;63,41
6,29;0,03190;63,41
6,33;0,03260;63,44
6,38;0,03190;63,44
6,45;0,03220;63,45
6,49;0,03220;63,45
6,55;0,03300;63,45
6,59;0,03220;63,46
6,64;0,03260;63,46
6,68;0,03220;63,46
6,74;0,03260;63,46
6,80;0,03220;63,46
6,85;0,03220;63,46
6,90;0,03220;63,46
6,94;0,03260;63,45
7,00;0,03220;63,45
7,04;0,03220;63,45
7,09;0,03260;63,45
7,13;0,03190;63,45
7,19;0,03220;63,50
7,25;0,03260;63,50
7,30;0,03220;63,55
7,35;0,03260;63,59
7,39;0,03220;63,59
7,45;0,03260;63,60
7,49;0,03260;63,61
7,54;0,03220;63,61
7,61;0,03220;63,63
7,64;0,03300;63,63
7,70;0,03260;63,66
7,74;0,03260;63,68
7,80;0,03190;63,68
7,83;0,03220;63,70
7,90;0,03260;63,72
7,93;0,03260;63,72
7,99;0,03260;63,72
8,05;0,03260;63,72
8,09;0,03190;63,78
8,15;0,03220;63,78
8,19;0,03300;63,81
8,25;0,03260;63,88
8,28;0,03260;63,88
8,34;0,03190;63,93
8,40;0,03220;63,93
8,44;0,03220;63,95
8,50;0,03220;63,95
8,54;0,03220;64,00
8,60;0,03220;64,06
8,64;0,03300;64,06
8,69;0,03220;64,12
8,73;0,03220;64,12
8,79;0,03260;64,19
8,85;0,03260;64,24
8,89;0,03260;64,24
8,95;0,03260;64,27
8,99;0,03220;64,27
9,04;0,03260;64,30
9,08;0,03220;64,30
9,14;0,03260;64,34
9,20;0,03300;64,37
9,24;0,03260;64,37
9,30;0,03300;64,43
9,34;0,03300;64,47
9,39;0,03220;64,47
9,43;0,03220;64,51
9,48;0,03260;64,51
9,53;0,03300;64,57
9,58;0,03300;64,62
9,65;0,03260;64,62
9,68;0,03260;64,71
9,74;0,03260;64,74
9,78;0,03220;64,74
9,84;0,03260;64,80
9,88;0,03260;64,80
9,93;0,03220;64,82
10,00;0,03260;64,82
10,03;0,03220;64,86
10,09;0,03260;64,93
10,13;0,03260;64,93
10,19;0,03220;64,96
10,22;0,03260;64,96
10,28;0,03260;64,96
10,32;0,03220;64,96
10,38;0,03260;65,00
10,44;0,03260;65,02
10,48;0,03220;65,02
10,54;0,03260;65,05
10,57;0,03190;65,05
10,63;0,03220;65,10
10,67;0,03190;65,15
10,73;0,03190;65,15
10,79;0,03150;65,18
10,83;0,03080;65,18
10,88;0,03040;65,19
10,93;0,03040;65,19
10,98;0,03000;65,20
11,02;0,02960;65,21
11,08;0,02890;65,21
11,11;0,02810;65,24
11,17;0,02770;65,24
11,23;0,02740;65,22
11,28;0,02660;65,24
11,33;0,02590;65,24
11,37;0,02480;65,24
11,43;0,02440;65,24
11,46;0,02250;65,27
11,52;0,02210;65,30
11,58;0,01990;65,30
11,62;0,01690;65,32
11,68;0,01460;65,32
11,72;0,01130;65,31
11,78;0,00790;65,31
11,81;0,00220;65,31
11,87;-0,00110;65,32
11,91;-0,00750;65,32
11,97;-0,01350;65,32
12,03;-0,02330;65,30
12,07;-0,03340;65,30
12,13;-0,04050;65,30
12,16;-0,05210;65,30
12,22;-0,06040;65,27
12,26;-0,07240;65,27
12,32;-0,08060;65,25
12,38;-0,09490;65,22
12,42;-0,10910;65,22
12,47;-0,11890;65,24
12,51;-0,13310;65,25
12,57;-0,14210;65,25
12,61;-0,15750;65,25
12,66;-0,16990;65,25
12,70;-0,18640;65,24
12,76;-0,20030;65,22
12,82;-0,22120;65,22
12,86;-0,24260;65,24
12,92;-0,26140;65,24
12,96;-0,28420;65,24
13,01;-0,30070;65,24
13,05;-0,32630;65,24
13,11;-0,34460;65,20
13,17;-0,37580;65,18
13,21;-0,40540;65,18
13,27;-0,42600;65,14
13,31;-0,45520;65,14
13,37;-0,47890;65,15
13,40;-0,51260;65,15
13,46;-0,53480;65,15
13,50;-0,56810;65,11
13,56;-0,59360;65,11
13,62;-0,62770;65,12
13,65;-0,67310;65,12
13,71;-0,69640;65,12
13,75;-0,73720;65,11
13,81;-0,76540;65,11
13,85;-0,80620;65,12
13,90;-0,83660;65,12
13,96;-0,87600;65,12
14,01;-0,92030;65,15
14,06;-0,95320;65,15
14,10;-1,00090;65,12
14,16;-1,03420;65,12
14,20;-1,07550;65,12
14,26;-1,10920;65,09
14,29;-1,15500;65,09
14,35;-1,18800;65,09
14,41;-1,23600;65,09
14,45;-1,29000;65,07
14,51;-1,32640;65,06
14,55;-1,37700;65,06
14,60;-1,41260;65,05
14,64;-1,46320;65,05
14,70;-1,50150;65,01
14,76;-1,56070;65,01
14,80;-1,61920;65,01
14,86;-1,65640;65,00
14,90;-1,70920;65,00
14,95;-1,74970;65,00
15,00;-1,81160;64,96
15,05;-1,85140;64,96
15,09;-1,90610;64,95
15,15;-1,94740;64,95
15,21;-2,00740;64,95
15,25;-2,07600;64,91
15,31;-2,11730;64,91
15,34;-2,17460;64,90
15,40;-2,21740;64,90
15,44;-2,28040;64,86
15,50;-2,32990;64,85
15,56;-2,39140;64,85
15,59;-2,45660;64,81
15,66;-2,50430;64,81
15,69;-2,57030;64,76
15,75;-2,62200;64,75
15,79;-2,69360;64,75
15,85;-2,73640;64,71
15,88;-2,81510;64,72
15,94;-2,85900;64,72
